Date,Open,High,Low,Close,Volume
01/07/2002,1.364148,1.4017,1.334259,1.362615,1080397
02/07/2002,1.386372,1.390971,1.356484,1.373344,1016147
03/07/2002,1.371811,1.387139,1.364914,1.373344,980394
04/07/2002,1.379475,1.4017,1.379475,1.381008,972747
05/07/2002,1.388672,1.388672,1.372578,1.377942,974496
08/07/2002,1.394803,1.45458,1.364914,1.438486,1061686
09/07/2002,1.433121,1.440785,1.391737,1.400934,1024719
10/07/2002,1.41013,1.41013,1.387139,1.399401,946638
11/07/2002,1.449215,1.449215,1.372578,1.37641,968220
12/07/2002,1.391737,1.403233,1.379475,1.387139,967763
15/07/2002,1.371811,1.378709,1.353418,1.358783,974157
16/07/2002,1.364148,1.381008,1.364148,1.371045,959138
17/07/2002,1.371811,1.371811,1.356484,1.360316,955902
18/07/2002,1.397102,1.397102,1.364914,1.37641,958081
19/07/2002,1.387139,1.387139,1.35725,1.371045,1022018
22/07/2002,1.34882,1.377176,1.329661,1.338857,959229
23/07/2002,1.302837,1.363381,1.302837,1.338857,950108
24/07/2002,1.325829,1.343455,1.303604,1.303604,1004507
25/07/2002,1.341156,1.361848,1.295174,1.315866,929688
26/07/2002,1.283678,1.283678,1.266051,1.275248,934529
29/07/2002,1.295174,1.295174,1.228499,1.243827,955236
30/07/2002,1.295174,1.295174,1.2262,1.230032,972108
31/07/2002,1.249191,1.249191,1.195545,1.218536,961513
01/08/2002,1.2262,1.260687,1.2262,1.233097,953331
02/08/2002,1.2262,1.2262,1.20091,1.220835,939461
05/08/2002,1.28751,1.28751,1.197078,1.218536,982116
06/08/2002,1.2262,1.2262,1.196311,1.201676,971195
07/08/2002,1.241527,1.241527,1.214704,1.223901,966576
08/08/2002,1.249191,1.249191,1.199377,1.205508,971443
09/08/2002,1.210872,1.222368,1.203209,1.214704,918884
12/08/2002,1.219303,1.225434,1.210872,1.220069,489590
13/08/2002,1.221602,1.225434,1.210872,1.215471,384772
14/08/2002,1.223134,1.223134,1.19018,1.203209,482452
15/08/2002,1.203209,1.203209,1.203209,1.203209,0
16/08/2002,1.200143,1.210872,1.177152,1.184049,520671
19/08/2002,1.210872,1.210872,1.17332,1.183283,501059
20/08/2002,1.194779,1.194779,1.180217,1.182517,507936
21/08/2002,1.197844,1.205508,1.187881,1.194012,507062
22/08/2002,1.197844,1.207041,1.187881,1.197844,495383
23/08/2002,1.203975,1.210872,1.187881,1.201676,519588
26/08/2002,1.210106,1.2262,1.193246,1.197844,552014
27/08/2002,1.201676,1.208573,1.184049,1.190947,504152
28/08/2002,1.203209,1.203209,1.184816,1.193246,491338
29/08/2002,1.195545,1.195545,1.180217,1.186348,489146
30/08/2002,1.186348,1.191713,1.180984,1.189414,488768
02/09/2002,1.194012,1.210106,1.194012,1.202442,514408
03/09/2002,1.203209,1.204741,1.19018,1.199377,493035
04/09/2002,1.197844,1.201676,1.187881,1.191713,478760
05/09/2002,1.201676,1.201676,1.189414,1.193246,492461
06/09/2002,1.199377,1.199377,1.176386,1.190947,510128
09/09/2002,1.149562,1.184049,1.149562,1.177152,488272
10/09/2002,1.177152,1.177152,1.177152,1.177152,0
