Date,Open,High,Low,Close,Adj Close,Volume
01/01/1996,8.778666,8.833333,8.773333,8.832,7.521939,208125
02/01/1996,8.832,9.013333,8.4,8.72,7.426554,1623750
03/01/1996,8.72,8.88,8.626666,8.658666,7.374316,721875
04/01/1996,8.658666,8.653333,8.4,8.568,7.297098,620625
05/01/1996,8.568,8.64,8.506666,8.546666,7.278929,350625
08/01/1996,8.546666,8.52,8.373333,8.4,7.154018,645000
09/01/1996,8.4,8.493333,8.296,8.422666,7.173322,903750
10/01/1996,8.422666,8.613333,8.426666,8.492,7.232371,455625
11/01/1996,8.492,8.613333,8.486666,8.578666,7.306182,110625
12/01/1996,8.8,8.8,8.66,8.728,7.433366,543750
15/01/1996,8.728,8.713333,8.52,8.688,7.399299,436875
16/01/1996,8.688,9.333333,8.693333,8.948,7.620732,746250
17/01/1996,8.948,8.826666,8.7,8.709333,7.417469,270000
18/01/1996,8.709333,8.746666,8.586666,8.694666,7.404977,163125
19/01/1996,8.694666,8.772,8.66,8.721333,7.427687,183750
22/01/1996,8.721333,8.853333,8.686666,8.826666,7.517396,318750
23/01/1996,8.826666,8.826666,8.4,8.504,7.24259,376875
24/01/1996,8.504,8.505333,7.893333,8.030666,6.839468,556875
25/01/1996,8.030666,8.133333,7.894666,7.921333,6.746352,245625
26/01/1996,7.921333,7.921333,7.921333,7.921333,6.746352,0
29/01/1996,7.921333,8.12,7.84,8.074666,6.876942,298125
30/01/1996,8.074666,8.253333,7.84,7.941333,6.763386,451875
31/01/1996,7.941333,8.133333,8.001333,8.073333,6.875806,183750
01/02/1996,8.073333,8.333333,7.894666,8.312,7.079072,198750
02/02/1996,8.312,8.64,8.017333,8.429333,7.179001,221250
05/02/1996,8.429333,8.666666,8.293333,8.466666,7.210796,851250
06/02/1996,8.466666,8.8,8.533333,8.554666,7.285743,211875
07/02/1996,8.554666,8.853333,8.434666,8.829333,7.519667,549375
08/02/1996,8.8,8.933333,8.72,8.898666,7.578717,225000
