Date,Open,High,Low,Close,Adj Close,Volume
01/01/1996,41.431252,41.4375,40.768749,40.768749,27.105186,3600
02/01/1996,40.768749,40.6875,40.006248,40.1875,26.718735,15600
03/01/1996,24.112499,26.25,25.5,25.63125,17.040983,17600
04/01/1996,25.63125,25.75,25.25,25.5,16.953726,8800
05/01/1996,25.5,25.75,25.25,25.63125,17.040983,15200
08/01/1996,25.63125,25.4375,25.13125,25.21875,16.766737,8800
09/01/1996,25.21875,25.375,24.38125,24.43125,16.243158,25600
10/01/1996,25.125,25.125,24.375,24.84375,16.517416,14800
11/01/1996,24.84375,24.875,24.5,24.71875,16.434313,3600
12/01/1996,24.71875,25.375,24.375,25.231251,16.775045,24800
15/01/1996,25.231251,25.25,25,25.231251,16.775045,4800
16/01/1996,25.231251,25.5,24.875,25.36875,16.866463,7200
17/01/1996,25.36875,25.375,25,25.231251,16.775045,6400
18/01/1996,25.231251,25.625,24.99375,25.625,17.036835,250800
19/01/1996,25.25,25.375,25.00625,25.25,16.787512,20800
22/01/1996,25.25,25.375,25.025,25.25,16.787512,24800
23/01/1996,25.25,26.3125,25.0875,25.9125,17.227978,52000
24/01/1996,25.75,25.875,25.34375,25.5,16.953726,6800
25/01/1996,25.5,26.25,25.25,26.25,17.452366,122800
26/01/1996,26.25,26.25,26.25,26.25,17.452366,0
29/01/1996,26.25,26.625,25.625,26.53125,17.639355,4000
30/01/1996,26.53125,28.125,26.112499,28.125,18.698959,249200
31/01/1996,27.5,28.125,26.25625,28.125,18.698959,100800
01/02/1996,28.125,29.375,27.40625,29.34375,19.509249,445200
02/02/1996,28.125,29.1875,28.125,29.043751,19.309795,32400
05/02/1996,29.043751,30.3125,28.5,30.25,20.111773,507600
06/02/1996,30.25,30.25625,29.4375,29.950001,19.912319,68800
07/02/1996,29.950001,30.96875,29,30.4625,20.253052,67600
08/02/1996,30.4625,32,31,31.5,20.942835,42800
09/02/1996,31.875,32,31.375,31.53125,20.963614,61200
12/02/1996,31.75,32.75,30.25,30.956249,20.581322,38400
13/02/1996,30.625,32.506248,30.262501,32.349998,21.507957,90800
14/02/1996,33.125,35.375,33.125,34.875,23.186714,460000
15/02/1996,34.875,35.25,34.0625,34.993752,23.265663,69200
16/02/1996,34.993752,34.625,33.768749,34.337502,22.829353,55200
19/02/1996,34.337502,35.125,33.875,35,23.269819,62400
20/02/1996,35,35.381248,34.8125,35.03125,23.290598,72400
21/02/1996,35.03125,35.03125,35.03125,35.03125,23.290598,0
22/02/1996,35.03125,35.5,35.018749,35.131248,23.357077,34400
23/02/1996,35.131248,35.59375,35.068748,35.337502,23.494202,39200
26/02/1996,35.337502,36.75,35.625,36.5,24.267092,68800
27/02/1996,36.5,37,36.125,36.84375,24.49564,42800
28/02/1996,36.84375,36.875,35.625,35.875,23.851561,23600
29/02/1996,35.875,35.4375,34.375,34.668751,23.049589,76400
01/03/1996,34.668751,35.21875,34.506248,34.956249,23.24073,51600
04/03/1996,34.956249,35,34,34.037498,22.629894,28800
05/03/1996,34.037498,34.037498,34.037498,34.037498,22.629894,0
06/03/1996,34.037498,35.03125,34.3125,34.325001,22.821045,14000
07/03/1996,34.325001,35.618752,34.25,34.299999,22.804424,16400
08/03/1996,34.299999,34.25,33.78125,34.181252,22.72547,15600
11/03/1996,34.181252,33.125,31.9125,32.356251,21.512117,16000
12/03/1996,32.356251,32.375,31.6875,31.94375,21.237864,33600
13/03/1996,31.94375,32.625,31.88125,32.625,21.69079,16400
14/03/1996,32.625,33.487499,32.756248,33.0625,21.981665,9600
15/03/1996,33.0625,33.5,32.8125,33.5,22.272537,16800
18/03/1996,32.625,32.75,32.349998,32.5,21.607687,8400
19/03/1996,32.5,33.0625,32.3125,32.400002,21.541204,14400
20/03/1996,32.400002,32.400002,32.400002,32.400002,21.541204,0
21/03/1996,32.400002,35,32.46875,32.875,21.85701,46000
22/03/1996,32.875,32.5,31.637501,31.637501,21.03425,5600
25/03/1996,31.637501,33.875,31.88125,32.53125,21.628469,20000
26/03/1996,32.53125,32.293751,31.8125,31.875,21.192158,5200
27/03/1996,31.875,32.506248,31.375,31.5,20.942835,51600
28/03/1996,31.5,33.118752,31.5,32.637501,21.699104,47200
29/03/1996,32.637501,33,31.875,32.0625,21.31682,11200
01/04/1996,32.0625,32,31.762501,32,21.275263,6000
02/04/1996,32,34.4375,32.237499,34.09375,22.667297,108400
03/04/1996,34.09375,35.5,32.75,35.075001,23.319683,108400
04/04/1996,35.075001,34.5,34.068748,34.200001,22.737936,32000
05/04/1996,34.200001,34.200001,34.200001,34.200001,22.737936,0
08/04/1996,34.200001,35.625,34.25,34.950001,23.236576,60000
09/04/1996,34.950001,36.0625,35.018749,35.8125,23.810009,78800
10/04/1996,35.8125,35.012501,34.28125,34.674999,23.053738,31600
