Date,Open,High,Low,Close,Adj Close,Volume
09/07/2003,164.899994,170.399994,155,164.300003,144.897522,35164284
10/07/2003,167,168.699997,164.5,167,147.278656,10464179
11/07/2003,167.75,174.850006,166.25,173.350006,152.878784,11740117
14/07/2003,174.25,179.25,174.25,177.949997,156.935547,5982324
15/07/2003,200,200,173,176.199997,155.392227,6173689
16/07/2003,176.449997,179.100006,175.350006,177.100006,156.185944,3759085
17/07/2003,177.5,178,170.649994,172.199997,151.864563,3814181
18/07/2003,165,171.899994,160,167.399994,147.631424,5375212
21/07/2003,169,169.399994,163.050003,164.899994,145.426636,3315845
22/07/2003,164,169.149994,162.100006,167.25,147.499146,4627992
23/07/2003,170.5,178,169.800003,174.699997,154.069351,13262249
24/07/2003,175.899994,177,172.850006,174.100006,153.540192,4305936
25/07/2003,174.399994,175,172.100006,173.649994,153.143356,2832967
28/07/2003,188,188,175.100006,178.850006,157.729294,5415867
29/07/2003,179.949997,182.899994,179.100006,180.300003,159.008041,5229181
30/07/2003,181.25,184.75,180.100006,181.100006,159.713577,4632246
31/07/2003,181.699997,183.649994,179.649994,180.850006,159.493042,3562717
01/08/2003,182,189,178.75,187.149994,165.049072,8027285
04/08/2003,187.850006,198.5,185,197.600006,174.265045,9982429
05/08/2003,199,203.449997,192.850006,193.600006,170.737396,9651327
06/08/2003,191.5,197.5,189.850006,191.600006,168.973618,7451054
07/08/2003,193.5,196,192.25,195.399994,172.324844,3223676
08/08/2003,197,198.899994,196,197.149994,173.868164,2530289
11/08/2003,198.100006,203.800003,196,202.199997,178.321808,5651311
12/08/2003,203.800003,212,203.5,210.449997,185.59758,8215213
13/08/2003,213,219.5,212,217.800003,192.079575,7839204
14/08/2003,223,224.399994,215,216.550003,190.977203,6298655
15/08/2003,216.550003,216.550003,216.550003,216.550003,190.977203,0
18/08/2003,218.100006,221,215.399994,216.899994,191.285858,3382031
19/08/2003,219.850006,219.899994,215,215.649994,190.183487,3080091
20/08/2003,217.399994,226.449997,217.300003,225,198.429352,6049174
21/08/2003,227,228.899994,223.300003,227.949997,201.030945,4012069
22/08/2003,228.050003,232.800003,225.899994,229.300003,202.221497,4436016
25/08/2003,230,231.449997,216.100006,221.050003,194.945801,4827198
26/08/2003,217,235,217,232.449997,204.999527,3968069
27/08/2003,235.399994,237.600006,233,234.300003,206.631088,2267859
28/08/2003,235.75,235.75,226,228.050003,201.119125,3554363
29/08/2003,232.050003,238.5,231.5,235.399994,207.601181,3212067
01/09/2003,236.399994,237,231.699997,235.550003,207.733505,2478236
02/09/2003,234.850006,234.850006,224.100006,226.550003,199.79628,3975812
03/09/2003,227.100006,231.75,221,222.800003,196.48912,3945233
04/09/2003,223,225.699997,218.449997,221.550003,195.386734,3682478
05/09/2003,223.899994,230,222.399994,229.300003,202.221497,2971415
08/09/2003,231,233.899994,227.149994,228.75,201.736481,1817991
09/09/2003,230,235,225.800003,228.199997,201.251434,2034401
10/09/2003,227.75,230.399994,225.800003,227.800003,200.898651,1476667
11/09/2003,230,230.100006,225,225.649994,199.002533,1092801
12/09/2003,228,228.5,219.100006,220.350006,194.328476,2496597
15/09/2003,219,221.350006,207.100006,208.350006,183.74556,3469640
16/09/2003,207,210,195.100006,208.5,183.877838,4004037
17/09/2003,212.5,219.5,209.25,216.050003,190.536224,3800473
18/09/2003,215.899994,215.899994,203.399994,205.600006,181.320328,2813556
19/09/2003,207,210.399994,198.800003,205.75,181.452606,3442717
22/09/2003,206,212.800003,205.75,210.699997,185.818024,2575343
23/09/2003,210.300003,214.399994,208.199997,213.149994,187.978714,1766451
24/09/2003,216,221,213.100006,219.949997,193.975708,2133208
25/09/2003,220.100006,220.100006,211.5,213.699997,188.463776,1916650
26/09/2003,214.399994,217.850006,213.100006,214.800003,189.433853,2531520
29/09/2003,216,229.449997,215.149994,227.199997,200.369553,3711837
30/09/2003,230,233.350006,228,232.550003,205.087753,3594810
01/10/2003,232,233,227.100006,228.449997,201.471924,2402620
02/10/2003,228.449997,228.449997,228.449997,228.449997,201.471924,0
03/10/2003,229,235,228.899994,234.399994,206.719284,2511914
