Date,Open,High,Low,Close,Adj Close,Volume
01/07/2002,10.4,10.71,10.34,10.64,9.275535,1435835
02/07/2002,10.8,11.83,10.8,11.42,9.95551,12510830
03/07/2002,11.39,11.54,10.86,10.95,9.545781,3589120
04/07/2002,11,11.58,10.98,11.28,9.833462,3957485
05/07/2002,11.39,12.08,11.3,11.79,10.27806,9544070
08/07/2002,12.2,12.9,12,12.14,10.583179,5771825
09/07/2002,12.17,12.82,12.1,12.48,10.879575,6671245
10/07/2002,12.57,12.68,11.81,11.85,10.330365,4501655
11/07/2002,11.83,12.3,11.62,11.7,10.199599,4315180
12/07/2002,12,12.14,11.71,11.85,10.330365,2800140
15/07/2002,11.95,11.95,11.21,11.36,9.903203,1704595
16/07/2002,11.44,11.58,11.01,11.14,9.711416,1916820
17/07/2002,11.1,11.28,10.85,10.91,9.510911,1433035
18/07/2002,11.02,11.26,11.02,11.22,9.781156,1012385
19/07/2002,11.18,11.54,11.04,11.15,9.720133,1536150
22/07/2002,10.8,11,10.51,10.62,9.258101,1245150
23/07/2002,10.54,10.8,10.44,10.76,9.380147,762115
24/07/2002,10.68,10.8,10.43,10.49,9.144769,608620
25/07/2002,10.8,11,10.22,10.45,9.109901,703220
26/07/2002,10.48,10.48,9.62,9.73,8.482233,1532135
29/07/2002,9.82,9.9,8.95,9.35,8.150964,1491780
30/07/2002,9.6,9.81,9.2,9.28,8.08994,1291000
31/07/2002,9.22,9.78,9,9.54,8.316599,1057095
01/08/2002,9.8,9.98,9.42,9.5,8.281728,1041365
02/08/2002,9.3,9.88,9.2,9.73,8.482233,1197590
05/08/2002,9.51,9.9,9.51,9.81,8.551974,688550
06/08/2002,9.8,9.92,9.62,9.87,8.604277,464005
07/08/2002,10.18,10.2,9.9,10.04,8.752479,656345
08/08/2002,10.2,10.2,9.47,9.52,8.299165,816270
09/08/2002,9.74,9.78,9.45,9.6,8.368906,751370
12/08/2002,9.96,9.96,9.6,9.68,8.438645,373580
13/08/2002,9.8,9.8,9.66,9.71,8.464797,177195
14/08/2002,9.7,9.71,9.34,9.41,8.203268,518595
15/08/2002,9.41,9.41,9.41,9.41,8.203268,0
16/08/2002,9.6,9.65,9.47,9.53,8.30788,298485
19/08/2002,9.98,9.98,9.5,9.53,8.30788,270060
20/08/2002,9.57,9.76,9.53,9.7,8.456079,224870
21/08/2002,9.85,9.87,9.63,9.68,8.438645,393840
22/08/2002,9.69,9.83,9.61,9.68,8.438645,340490
23/08/2002,9.84,9.84,9.58,9.62,8.386341,183065
26/08/2002,9.6,9.7,9.6,9.64,8.403775,178360
27/08/2002,9.51,9.65,9.4,9.42,8.211987,232490
28/08/2002,9.8,9.8,9.32,9.4,8.194551,185550
29/08/2002,9.48,9.5,9.3,9.37,8.1684,189090
30/08/2002,9.4,9.49,9.34,9.39,8.185832,170580
02/09/2002,9.6,9.68,9.46,9.51,8.290446,307270
03/09/2002,9.55,9.58,9.32,9.36,8.159681,208595
04/09/2002,9.31,9.4,9.3,9.36,8.159681,148055
05/09/2002,9.4,9.48,9.34,9.39,8.185832,158875
06/09/2002,9.4,9.48,9.27,9.31,8.116096,147910
09/09/2002,9.25,9.37,9.22,9.31,8.116096,154430
10/09/2002,9.31,9.31,9.31,9.31,8.116096,0
11/09/2002,9.33,9.48,9.33,9.4,8.194551,160190
12/09/2002,9.38,9.4,9,9.1,8.285603,492995
13/09/2002,9.16,9.38,9,9.12,8.303811,267135
16/09/2002,9.38,9.38,8.63,9.09,8.276497,139215
17/09/2002,8.9,9.2,8.9,9.06,8.249181,186320
18/09/2002,9.12,9.13,8.86,8.89,8.094395,277335
19/09/2002,8.96,8.96,8.7,8.74,7.95782,228125
20/09/2002,8.78,8.78,8.61,8.71,7.930507,189595
