Date,Airtel,Ashokley,Axisbank,Britannia,CadilaHC,Cipla,DrReddy,HDFC,HDFCbank,Hero,Hindunivr,ICICIbank,IDEA,INFY,ITC,Kotakbank,Maruti,Mcdowell,MRF,ONGC,Reliance,SBIN,Sunpharma,TataMotors,TCS,TorrentPharma,Wipro,Class
01-Jan-21,515.15,99.1,623.8,3567.8,478.4,826.6,5241.35,2568.75,1425.05,3102.65,2387.55,527.5,11.2,1260.45,213.85,1994.05,7691.3,581.5,76021.65,93.2,1987.5,279.4,596.25,186.5,2928.25,2795.05,396.4,1
04-Jan-21,517.1,104.05,624.7,32.18,486.4,832.25,5272.25,757.7,1416,3043.85,2426.5,531.7,11.9,1288.25,213.4,1965.55,7702.3,584.35,78402.2,96.95,1990.85,10993.38,604.4,191.3,3039.45,2794.65,406.3,1
05-Jan-21,514,104.75,664.45,3552.9,485.85,827.25,5286.9,2578.5,1426.7,3067.2,2450.55,537.25,11.9,1293.8,211.45,1959.75,7655.45,582.25,79053,94.95,1966.1,10900,603.45,193.2,3093,2809.45,406.4,1
06-Jan-21,525.3,105.1,654.25,32.01,481.6,824.8,5288.3,758.05,1420.55,3083.55,2417.3,546.7,11.85,1282.1,205.4,1970.4,7628.6,586.15,78752.25,96.95,1914.25,281.05,605.3,195.4,3051.5,2790.7,406.75,1
07-Jan-21,545.25,111.05,671.1,3551.1,482.2,826.55,5270.9,2651.85,1416.25,3055.25,2368.85,541.1,11.95,1262.15,202.8,1952.4,7566.05,613.9,77332.6,97.9,1911.15,10989.98,601.9,196.75,3032.8,2775.95,430.2,1
08-Jan-21,540.25,112.8,672.7,32.03,485.15,838.7,5338.25,798.7,1431.65,3161.1,2391.2,542.05,11.75,1312.1,201.5,1970.7,8014.9,630.9,80602.1,100.65,1933.7,10920,620.8,198.15,3120.9,2851.9,446.8,1
11-Jan-21,547.15,116.95,666.95,3539.7,493.7,856.85,5416.8,2638.85,1451.45,3197.7,2429.1,544.7,11.5,1376.2,202.5,1938.15,8232.75,641.9,82507.9,102.55,1897.25,281.75,621,220.65,3176.45,2851.45,457.7,1
12-Jan-21,565.75,121.6,675.7,32.04,490.35,843.15,5353.85,789.1,1481,3248.25,2375.9,548,12.1,1371.75,206.45,1903.45,8188.05,644,85746.9,103.45,1957.05,11002.03,609.65,237.8,3174.85,2833.5,459,1
13-Jan-21,578.25,121.65,687.8,3552.8,487.05,841.7,5290,2661.35,1470.65,3256.8,2372.35,556.5,12.25,1387.15,211.25,1882.1,8139.85,640.8,85642.3,105.25,1938.8,10921,602.3,242.6,3158.95,2766.65,454.35,1
14-Jan-21,580.55,119.1,676,32.01,503.45,840.9,5308.9,826.9,1468.75,3266.6,2398.55,553.3,12.3,1370.5,214.15,1892.65,8149.45,639,88749.65,105.05,1960.6,285.05,607.05,245.1,3250.7,2785.55,438.55,1
15-Jan-21,602.65,119.6,674.85,3575.25,487.8,823.7,5212.8,2657.5,1466.65,3203,2351.15,543,13.65,1344.95,217.85,1863.9,8024.75,633.7,87551.75,101.4,1937.45,11029.44,604.3,260.3,3233.35,2711.7,431.55,1
18-Jan-21,586.95,114.3,657,32.01,472.9,801.75,5052.1,815.9,1483.1,3163.15,2332.6,533.15,13,1312.05,219.75,1846.95,7830.65,627.45,85661.85,96.65,1983.95,10927,581.45,245.95,3221.75,2645.1,430.25,1
19-Jan-21,592.3,118.65,668.75,3612.85,485.2,822.45,5088.9,2751.2,1503.85,3232.9,2363.15,546.45,13.3,1316.65,218.85,1887,7922.6,628.75,87197.55,98.1,2016.4,287.7,596.55,258.65,3260.7,2750.9,444.95,1
20-Jan-21,596.15,121.7,675.75,32,486.2,832.8,5080.65,855.25,1492,3275.6,2355.95,551,13.35,1339.45,217.65,1883.6,8144.95,619.9,93081.5,98.85,2054.7,11051.33,594.7,274.9,3308.8,2722.15,445.8,1
21-Jan-21,581.35,119.5,675.85,3631.65,469.5,812.75,5052.2,2747.55,1474.8,3247.3,2367.65,552.7,12.9,1339.7,213.7,1857.8,8076.75,628.1,91712.9,94.7,2099.4,10924.99,582.9,290.6,3273.85,2738.95,444.75,1
22-Jan-21,576.85,122.25,644.5,32.01,460.5,808.3,5036.9,845.65,1443.55,3374.9,2409.35,533.8,12.7,1340.85,210.7,1828,8048.85,625.05,92305.95,92.75,2049.6,286,575.2,289.35,3303.1,2690.35,437.25,1
25-Jan-21,580.75,117.4,658.4,3621.15,467.4,836.8,5082.4,2670.9,1462.85,3474.95,2399.6,538.05,11.75,1325.1,207.8,1794.4,7981.5,635.05,89638.35,91.35,1941,11049.75,586.4,279.15,3291.3,2635.25,446.45,1
