Date,Open,High,Low,Close,Adj Close,Volume
01/01/1996,1.812932,1.804799,1.80325,1.80325,1.454535,38730
02/01/1996,1.800926,1.800926,1.743219,1.743219,1.406113,77460
03/01/1996,1.743219,1.750578,1.750578,1.750578,1.412049,12910
04/01/1996,1.746705,1.758324,1.742832,1.742832,1.405801,64550
05/01/1996,1.738572,1.738572,1.738572,1.738572,1.402365,12910
08/01/1996,1.72734,1.735086,1.665373,1.665373,1.343321,167830
09/01/1996,1.626643,1.649493,1.616961,1.616961,1.304271,309840
10/01/1996,1.616961,1.704102,1.611151,1.703715,1.374248,490580
11/01/1996,1.673119,1.673119,1.673119,1.673119,1.349569,38730
12/01/1996,1.665373,1.703715,1.665373,1.696356,1.368312,77460
15/01/1996,1.673119,1.673119,1.666147,1.666147,1.343945,116190
16/01/1996,1.673119,1.704102,1.642135,1.68861,1.362064,1665392
17/01/1996,1.68861,1.684737,1.549184,1.665373,1.343321,387300
18/01/1996,1.665373,1.665373,1.634389,1.653754,1.333949,129100
19/01/1996,1.634389,1.647944,1.618897,1.620059,1.306769,219470
22/01/1996,1.620059,1.626643,1.587913,1.626643,1.31208,116190
23/01/1996,1.626643,1.626643,1.55693,1.618897,1.305833,167830
24/01/1996,1.618897,1.615024,1.580942,1.597983,1.288963,296930
25/01/1996,1.597983,1.611151,1.572422,1.60418,1.293962,232380
26/01/1996,1.60418,1.60418,1.60418,1.60418,1.293962,0
29/01/1996,1.60418,1.618897,1.573196,1.618897,1.305833,51640
30/01/1996,1.618897,1.642135,1.609215,1.638262,1.321452,1665392
31/01/1996,1.638262,1.634389,1.58985,1.628967,1.313955,77460
01/02/1996,1.628967,1.657627,1.649881,1.649881,1.330825,25820
02/02/1996,1.649881,1.740895,1.704102,1.719207,1.386744,142010
05/02/1996,1.719207,1.779625,1.764133,1.777688,1.433916,116190
06/02/1996,1.777688,1.802863,1.766457,1.766457,1.424857,154920
07/02/1996,1.742832,1.781561,1.719594,1.781561,1.43704,142010
08/02/1996,1.781561,1.859021,1.777688,1.851275,1.493273,348570
09/02/1996,1.89775,1.971336,1.874512,1.971336,1.590116,374390
12/02/1996,1.936093,1.967464,1.89775,1.934156,1.560126,271110
13/02/1996,1.934156,1.974435,1.89775,1.967464,1.586993,503490
14/02/1996,1.951972,2.052669,1.951972,2.040275,1.645724,490580
15/02/1996,2.013939,2.091398,2.013939,2.04957,1.653221,361480
16/02/1996,2.04957,2.153366,2.053443,2.13129,1.719138,1420102
19/02/1996,2.101855,2.137874,2.091398,2.130515,1.718513,890791
20/02/1996,2.130515,2.2072,2.130128,2.166921,1.747878,787511
21/02/1996,2.166921,2.166921,2.166921,2.166921,1.747878,0
22/02/1996,2.166921,2.176603,2.137874,2.169245,1.749753,568040
23/02/1996,2.168857,2.184349,2.168857,2.168857,1.74944,3072584
26/02/1996,2.168857,2.184349,2.169245,2.170019,1.750378,361480
27/02/1996,2.170019,2.17273,2.168857,2.168857,1.74944,1213541
28/02/1996,2.168857,2.176603,2.164985,2.17273,1.752564,542220
29/02/1996,2.17273,2.176603,2.168857,2.169245,1.749753,1097351
01/03/1996,2.169245,2.176603,2.169245,2.171569,1.751628,942431
04/03/1996,2.171569,2.205651,2.16847,2.182026,1.760063,1665392
05/03/1996,2.182026,2.182026,2.182026,2.182026,1.760063,0
06/03/1996,2.182026,2.169245,2.130515,2.130515,1.718513,180740
07/03/1996,2.130515,2.10689,2.068161,2.068161,1.668217,38730
08/03/1996,1.983343,2.068161,1.983343,2.039888,1.645412,619680
11/03/1996,2.091398,2.091398,2.031367,2.072033,1.671341,154920
12/03/1996,2.072033,2.052669,2.029431,2.037564,1.643537,129100
13/03/1996,2.037564,2.068161,2.04531,2.058091,1.660095,77460
14/03/1996,2.058091,2.091398,2.054605,2.054605,1.657283,129100
15/03/1996,2.054605,2.052669,2.029818,2.052669,1.655721,64550
18/03/1996,2.052669,2.044923,2.037177,2.037177,1.643225,180740
19/03/1996,2.037177,2.058478,2.013939,2.033691,1.640413,271110
20/03/1996,2.033691,2.033691,2.033691,2.033691,1.640413,0
21/03/1996,2.033691,2.022072,2.013939,2.022072,1.631041,129100
22/03/1996,2.022072,2.037177,2.029431,2.029431,1.636977,142010
25/03/1996,2.029431,2.021685,2.006193,2.021685,1.630729,64550
26/03/1996,2.021685,2.044923,2.006193,2.044923,1.649473,64550
27/03/1996,2.052669,2.060415,2.052669,2.053056,1.656033,90370
28/03/1996,2.053056,2.067773,2.053056,2.067773,1.667904,90370
29/03/1996,2.067773,2.075906,2.056542,2.075906,1.674464,77460
01/04/1996,2.075906,2.075906,2.075906,2.075906,1.674464,64550
02/04/1996,2.053056,2.130128,2.053056,2.099144,1.693209,374390
03/04/1996,2.099144,2.10689,2.075906,2.101081,1.694771,77460
04/04/1996,2.091398,2.099144,2.075906,2.091398,1.686961,167830
05/04/1996,2.091398,2.091398,2.091398,2.091398,1.686961,0
08/04/1996,2.053056,2.097208,2.053056,2.093335,1.688523,555130
09/04/1996,2.093335,2.10689,2.060415,2.091398,1.686961,413120
10/04/1996,2.091398,2.075906,2.062351,2.062351,1.663531,129100
11/04/1996,2.062351,2.052669,2.013939,2.029431,1.636977,90370
12/04/1996,1.998447,2.012003,1.982955,2.005806,1.617921,245290
15/04/1996,1.990701,2.006193,1.990701,2.00232,1.615109,51640
16/04/1996,2.00232,2.029431,1.998447,2.029431,1.636977,193650
17/04/1996,2.016263,2.052669,2.016263,2.052669,1.655721,90370
18/04/1996,2.052669,2.153366,2.052669,2.130128,1.718201,258200
19/04/1996,2.130128,2.176603,2.114636,2.156851,1.739756,529310
22/04/1996,2.156851,2.199841,2.099919,2.140585,1.726636,516400
23/04/1996,2.140585,2.118509,2.091398,2.107277,1.699769,129100
24/04/1996,2.130128,2.207587,2.122382,2.161499,1.743506,387300
25/04/1996,2.161499,2.168857,2.130128,2.156077,1.739132,245290
26/04/1996,2.156077,2.122382,2.091786,2.091786,1.687273,206560
29/04/1996,2.091786,2.122382,2.092173,2.100306,1.694146,77460
